15 июл. 2026 18:50:05,380 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1091099917
15 июл. 2026 18:50:06,591 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1396292525
15 июл. 2026 18:50:06,592 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1091099917
15 июл. 2026 18:50:07,545 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@712874817
15 июл. 2026 18:50:08,059 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1212360692
15 июл. 2026 18:50:08,059 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1716555035
15 июл. 2026 18:50:08,254 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@536473089
15 июл. 2026 18:50:08,327 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@689753023
15 июл. 2026 18:50:08,380 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1734278184
15 июл. 2026 18:50:08,381 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@840863575
15 июл. 2026 18:50:08,381 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@811899525
15 июл. 2026 18:50:08,381 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1015195728
15 июл. 2026 18:50:08,381 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@183813782
15 июл. 2026 18:50:08,381 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@360529083
15 июл. 2026 18:50:08,429 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1672957584
15 июл. 2026 18:50:08,432 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1886360791
15 июл. 2026 18:50:08,646 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1886360791
15 июл. 2026 18:50:10,207 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1749649690
15 июл. 2026 18:50:10,288 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@449789173
15 июл. 2026 18:50:10,507 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@449789173
15 июл. 2026 18:50:11,228 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@432803034
15 июл. 2026 18:50:11,228 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@134027363
15 июл. 2026 18:50:11,228 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1374611948
15 июл. 2026 18:50:11,586 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@811899525
15 июл. 2026 18:50:11,586 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1716555035
