15 июл. 2026 18:50:10,277 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@438b75ab
15 июл. 2026 18:50:18,835 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@376a47f3
15 июл. 2026 18:50:39,422 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@4e87aedc
15 июл. 2026 18:52:01,941 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@4596799a
15 июл. 2026 18:52:14,215 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1693947855 - Authentication.customUsers,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1167489434,SQL@1688800816]]
15 июл. 2026 18:52:19,875 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 3980, SID: _EDITFORMNEWSESSION_Authentication_CustomUser(u)]
15 июл. 2026 18:52:19,886 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[807962185 - Authentication.customUser,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1167489434,SQL@1688800816]]
15 июл. 2026 18:52:19,969 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 3980, SID: _EDITFORMNEWSESSION_Authentication_CustomUser(u)]
15 июл. 2026 18:52:39,817 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1167489434,SQL@1688800816]
15 июл. 2026 18:52:39,817 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[807962185 - Authentication.customUser,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1167489434,SQL@1688800816]]]
15 июл. 2026 18:52:39,817 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1693947855 - Authentication.customUsers,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1167489434,SQL@1688800816]]]
15 июл. 2026 18:52:44,825 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1167489434,SQL@1688800816]
15 июл. 2026 18:52:44,825 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[807962185 - Authentication.customUser,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1167489434,SQL@1688800816]]]
15 июл. 2026 18:52:44,825 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[807962185 - Authentication.customUser,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1167489434,SQL@1688800816]]
15 июл. 2026 18:52:44,830 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1693947855 - Authentication.customUsers,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1167489434,SQL@1688800816]]]
15 июл. 2026 18:52:44,830 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1693947855 - Authentication.customUsers,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',1167489434,SQL@1688800816]]
15 июл. 2026 18:52:54,068 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@2c6009e1
15 июл. 2026 18:52:54,689 Мария Иванова - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - CALLBACK UNREFERENCED : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@4596799a
15 июл. 2026 18:53:02,447 Мария Иванова - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[869013043 - Numerator.defaultNumerators,RN[clientAddress: 127.0.0.1,5620 - Authentication.CustomUser 'Обычный пользователь',744491489,SQL@1634250166]]
20 июл. 2026 18:54:32,057 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@18a08c98
20 июл. 2026 18:54:55,304 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1819351160 - Main.viewResult,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:54:57,925 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[101138559 - Main.viewUO,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:54:58,984 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1178470480 - Main.viewPlayer,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:54:59,637 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[180303129 - Main.viewReasons,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:55:02,456 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[101138559 - Main.viewUO,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:55:02,457 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[101138559 - Main.viewUO,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:03,642 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1178470480 - Main.viewPlayer,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:55:03,642 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1178470480 - Main.viewPlayer,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:04,976 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[180303129 - Main.viewReasons,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:55:04,976 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[180303129 - Main.viewReasons,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:05,997 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1819351160 - Main.viewResult,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:55:05,997 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1819351160 - Main.viewResult,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:07,482 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[101138559 - Main.viewUO,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:08,652 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1178470480 - Main.viewPlayer,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:09,987 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[180303129 - Main.viewReasons,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:11,006 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1819351160 - Main.viewResult,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:12,483 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[101138559 - Main.viewUO,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:12,483 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[101138559 - Main.viewUO,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
20 июл. 2026 18:55:13,652 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1178470480 - Main.viewPlayer,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]]
20 июл. 2026 18:55:13,652 Админ Админов - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1178470480 - Main.viewPlayer,RN[clientAddress: 127.0.0.1,284 - Authentication.CustomUser 'Обычный пользователь',413174936,SQL@539626604]]
